id,key,value,type
1568753846,kn,\xe0\xb2\xb9\xe0\xb2\xbe\xe0\xb2\xaa\xe0\xb3\x8d \xe0\xb2\x95\xe0\xb2\xbe\xe0\xb2\xae\xe0\xb3\x8d\xe0\xb2\xb8\xe0\xb3\x8d,name
1568758585,name,Ganga Sagar,regular
1568758585,amenity,fast_food,regular
1568765286,name,St. Johns High School,regular
1568765286,amenity,school,regular
1568765286,wheelchair,limited,regular
1568770498,name,Vijayanagar Clu,regular
1568770498,sport,tennis,regular
1568770498,leisure,sports_centre,regular
1568770498,building,public,regular
1568771751,name,Vijayanagar Swim Centre,regular
1568771751,amenity,swimming_pool,regular
1568844087,name,Ayurveda Clinic,regular
1568844087,amenity,hospital,regular
1568844087,emergency,no,regular
1568844529,name,EK Retail,regular
1568844529,shop,supermarket,regular
1568845291,name,Daily fresh supermarket,regular
1568845291,shop,supermarket,regular
1568922448,amenity,parking,regular
1568922448,parking,surface,regular
1568922456,barrier,gate,regular
1568922529,barrier,gate,regular
1568922532,name,Town Hall,regular
1568922532,highway,bus_stop,regular
1568922532,kn,\xe0\xb2\xae\xe0\xb2\xb9\xe0\xb2\xbe\xe0\xb2\xa8\xe0\xb2\x97\xe0\xb2\xb0 \xe0\xb2\xaa\xe0\xb2\xbe\xe0\xb2\xb2\xe0\xb2\xbf\xe0\xb2\x95\xe0\xb3\x86,name
1568922534,amenity,parking,regular
1568922538,barrier,gate,regular
1569063327,barrier,gate,regular
1569089718,name,Srirama Reddy layout,regular
1569089718,highway,bus_stop,regular
1569089718,local_ref,VIGNANA NAGARA,regular
1569153263,name,State Bank of India,regular
1569153263,amenity,atm,regular
1569153263,kn,\xe0\xb2\xad\xe0\xb2\xbe\xe0\xb2\xb0\xe0\xb2\xa4\xe0\xb3\x80\xe0\xb2\xaf \xe0\xb2\xb8\xe0\xb3\x8d\xe0\xb2\x9f\xe0\xb3\x87\xe0\xb2\x9f\xe0\xb3\x8d \xe0\xb2\xac\xe0\xb3\x8d\xe0\xb2\xaf\xe0\xb2\xbe\xe0\xb2\x82\xe0\xb2\x95\xe0\xb3\x8d,name
1569153263,operator,SBI,regular
1569153265,amenity,atm,regular
1569153265,operator,Citibank,regular
1570881884,name,Anappa Circle,regular
1570881884,junction,yes,regular
1571251791,name,All,regular
1571251791,shop,clothes,regular
1571251791,street,"Cosmos Mall, ITPL Road",addr
1571251792,name,Madhuloka,regular
1571251792,shop,beverages,regular
1571251792,street,"Cosmos Mall, I T P L Main Road Road",addr
1571251793,name,"b""News""",regular
1571251793,shop,toys,regular
1571251793,street,"Cosmos Mall, I T P L Main Road Road",addr
1571251794,name,Star Sitara,regular
1571251794,shop,beauty,regular
1572281098,name,Gopalan Mall,regular
1572281098,shop,supermarket,regular
1572281098,wheelchair,yes,regular
1572372510,name,Shanthi Layout,regular
1572372510,highway,bus_stop,regular
1572644025,name,Yeswantapur Station Parking,regular
1572644025,amenity,parking,regular
1572829956,barrier,gate,regular
1573975041,name,Garudachar Palya,regular
1573975041,highway,bus_stop,regular
1573975041,local_ref,HOODI,regular
1575218920,name,Tarento Technologies India Pvt. Ltd.,regular
1575218920,company,computer,regular
1575610024,name,Veeranna Palya,regular
1575610024,highway,bus_stop,regular
1575706224,name,Devi Medicals,regular
1575706224,amenity,pharmacy,regular
1575706224,wheelchair,no,regular
1576855732,name,Mahadevapura (u/c),regular
1576855732,network,Namma Metro,regular
1576855732,railway,station,regular
1576855732,station,subway,regular
1576855732,operator,BMRCL,regular
1576855732,construction,station,regular
1576855820,name,Ujjval Vidhyalaya (u/c),regular
1576855820,network,Namma Metro,regular
1576855820,railway,station,regular
1576855820,station,subway,regular
1576855820,operator,BMRCL,regular
1576855820,construction,station,regular
1576855833,name,Vishweshwariah Industrial Area (u/c),regular
1576855833,network,Namma Metro,regular
1576855833,railway,station,regular
1576855833,station,subway,regular
1576855833,operator,BMRCL,regular
1576855833,construction,station,regular
1576855844,name,Kadugodi (u/c),regular
1576855844,network,Namma Metro,regular
1576855844,railway,station,regular
1576855844,station,subway,regular
1576855844,operator,BMRCL,regular
1576855844,construction,station,regular
1576855846,name,Garudacharpalya (u/c),regular
1576855846,network,Namma Metro,regular
1576855846,railway,station,regular
1576855846,station,subway,regular
1576855846,operator,BMRCL,regular
1576855846,construction,station,regular
1576856001,name,Doddanekkundi Industrial Estate (u/c),regular
1576856001,network,Namma Metro,regular
1576856001,railway,station,regular
1576856001,station,subway,regular
1576856001,operator,BMRCL,regular
1576856001,construction,station,regular
1576856116,name,Satya Sai Baba Medical Institute (u/c),regular
1576856116,network,Namma Metro,regular
1576856116,railway,station,regular
1576856116,station,subway,regular
1576856116,operator,BMRCL,regular
1576856116,construction,station,regular
1576856124,name,Whitefield (u/c),regular
1576856124,network,Namma Metro,regular
1576856124,railway,station,regular
1576856124,station,subway,regular
1576856124,operator,BMRCL,regular
1576856124,construction,station,regular
1576856288,name,Vydehi Hospital (u/c),regular
1576856288,network,Namma Metro,regular
1576856288,railway,station,regular
1576856288,station,subway,regular
1576856288,operator,BMRCL,regular
1576856288,construction,station,regular
1576856319,name,Krishnarajapuram (u/c),regular
1576856319,disused,yes,regular
1576856319,network,Namma Metro,regular
1576856319,railway,station,regular
1576856319,station,subway,regular
1576856319,operator,BMRCL,regular
1576856319,wikidata,Q6437604,regular
1576856319,wikipedia,en:Krishnarajapuram railway station,regular
1576856319,construction,station,regular
1576856339,name,ITPB (u/c),regular
